id,input,expected,model_output,bleu,exact_match,error
1,"She decorated her new apartment kitchen with purple accents to match the eggplant she loved cooking, while reading an article about how diet can influence estrogen levels.","She decorated her new flat kitchen with purple accents to match the aubergine she loved cooking, while reading an article about how diet can influence oestrogen levels.","She decorated her new apartment kitchen with purple accents to match the aubergine she loved cooking, while reading an article about how diet can influence oestrogen levels.",0.89854,0,
2,The color of the neighbor's car was gray.,The colour of the neighbour's car was grey.,The colour of the neighbour's car was grey.,1.0,1,
3,He realized that his favorite program was canceled due to bad weather.,He realised that his favourite programme was cancelled due to bad weather.,He realised that his favourite programme was cancelled due to bad weather.,1.0,1,
4,The theater is located in the center of the city.,The theatre is located in the centre of the city.,The theatre is located in the centre of the city.,1.0,1,
5,The traveler organized his itinerary before boarding the airplane.,The traveller organised his itinerary before boarding the aeroplane.,The traveller organised his itinerary before boarding the aeroplane.,1.0,1,
6,She analyzed the behavior of children in the school playground.,She analysed the behaviour of children in the school playground.,She analysed the behaviour of children in the school playground.,1.0,1,
7,The check was honored by the bank without any issue.,The cheque was honoured by the bank without any issue.,The cheque was honoured by the bank without any issue.,1.0,1,
8,He was very honored to receive the medal for his defense service.,He was very honoured to receive the medal for his defence service.,He was very honoured to receive the medal for his defence service.,1.0,1,
9,The organization plans to modernize the labor system next year.,The organisation plans to modernise the labour system next year.,The organisation plans to modernise the labour system next year.,1.0,1,
10,She enrolled in a modeling class to improve her confidence.,She enrolled in a modelling class to improve her confidence.,She enrolled in a modelling class to improve her confidence.,1.0,1,
11,He checked the tires of the car before traveling to the countryside.,He checked the tyres of the car before travelling to the countryside.,He checked the tyres of the car before travelling to the countryside.,1.0,1,
12,The jewelry store displayed beautiful necklaces made of silver.,The jewellery shop displayed beautiful necklaces made of silver.,The jewellery store displayed beautiful necklaces made of silver.,0.660633,0,
